basket_type,n_stocks,stocks,ticker,weight
Thomas-style,3,CVE|DVN|MPC,DVN,0.21578880812047058
Thomas-style,3,CVE|DVN|MPC,MPC,0.5079707091325529
Thomas-style,3,DVN|MPC|SU,DVN,0.16246576583092273
Thomas-style,3,DVN|MPC|SU,MPC,0.37762234740666323
Thomas-style,3,DVN|MPC|SU,SU,0.45991188676241407
Thomas-style,3,DVN|IMO|MPC,DVN,0.2138465806131981
Thomas-style,3,DVN|IMO|MPC,IMO,0.4157196551100711
Thomas-style,3,DVN|IMO|MPC,MPC,0.37043376427673086
Thomas-style,3,DVN|ENB|MPC,DVN,0.2959606230778521
Thomas-style,3,DVN|ENB|MPC,ENB,0.42205818911748344
Thomas-style,3,DVN|ENB|MPC,MPC,0.2819811878046645
Thomas-style,3,DVN|MPC|TRP,DVN,0.3055031057975912
Thomas-style,3,DVN|MPC|TRP,MPC,0.3332076158636027
Thomas-style,3,DVN|MPC|TRP,TRP,0.36128927833880614
Thomas-style,3,DVN|MPC|PBA,DVN,0.2673297740212773
Thomas-style,3,DVN|MPC|PBA,MPC,0.2807636050028197
Thomas-style,3,DVN|MPC|PBA,PBA,0.451906620975903
Thomas-style,3,DVN|MPC|WMB,DVN,0.2655170286418397
Thomas-style,3,DVN|MPC|WMB,MPC,0.319802973414192
Thomas-style,3,DVN|MPC|WMB,WMB,0.41467999794396837
Thomas-style,3,CNQ|DVN|PSX,CNQ,0.45692800597964456
Thomas-style,3,CNQ|DVN|PSX,DVN,0.136617620141186
Thomas-style,3,CNQ|DVN|PSX,PSX,0.4064543738791695
Thomas-style,3,CVE|DVN|PSX,CVE,0.27399707663301515
Thomas-style,3,CVE|DVN|PSX,DVN,0.20774386947876403
Thomas-style,3,CVE|DVN|PSX,PSX,0.5182590538882208
Thomas-style,3,DVN|PSX|SU,DVN,0.15359027680140994
Thomas-style,3,DVN|PSX|SU,PSX,0.3888221328222393
Thomas-style,3,DVN|PSX|SU,SU,0.4575875903763508
Thomas-style,3,DVN|IMO|PSX,DVN,0.19561605462781656
Thomas-style,3,DVN|IMO|PSX,IMO,0.41748178307145345
Thomas-style,3,DVN|IMO|PSX,PSX,0.38690216230072993
Thomas-style,3,DVN|ENB|PSX,DVN,0.2810233329123673
Thomas-style,3,DVN|ENB|PSX,ENB,0.41795490537485663
Thomas-style,3,DVN|ENB|PSX,PSX,0.301021761712776
Thomas-style,3,DVN|PSX|TRP,DVN,0.2900847331826876
Thomas-style,3,DVN|PSX|TRP,PSX,0.3499421736849843
Thomas-style,3,DVN|PSX|TRP,TRP,0.35997309313232806
Thomas-style,3,DVN|PBA|PSX,DVN,0.24898701411326501
Thomas-style,3,DVN|PBA|PSX,PBA,0.4471982322701944
Thomas-style,3,DVN|PBA|PSX,PSX,0.30381475361654064
Thomas-style,3,DVN|PSX|WMB,DVN,0.24464818077921058
Thomas-style,3,DVN|PSX|WMB,PSX,0.3420174791853246
Thomas-style,3,DVN|PSX|WMB,WMB,0.41333434003546493
Thomas-style,3,CNQ|DVN|VLO,CNQ,0.5173181370824836
Thomas-style,3,CNQ|DVN|VLO,DVN,0.13677486346394133
Thomas-style,3,CNQ|DVN|VLO,VLO,0.34590699945357506
Thomas-style,3,CVE|DVN|VLO,CVE,0.32040128279001423
Thomas-style,3,CVE|DVN|VLO,DVN,0.24494874764673846
Thomas-style,3,CVE|DVN|VLO,VLO,0.43464996956324725
Thomas-style,3,DVN|SU|VLO,DVN,0.17458629816036028
Thomas-style,3,DVN|SU|VLO,SU,0.5084386004185671
Thomas-style,3,DVN|SU|VLO,VLO,0.31697510142107255
Thomas-style,3,DVN|IMO|VLO,DVN,0.2270952573666331
Thomas-style,3,DVN|IMO|VLO,IMO,0.46236218211107893
Thomas-style,3,DVN|IMO|VLO,VLO,0.31054256052228796
Thomas-style,3,DVN|ENB|VLO,DVN,0.29009314993939733
Thomas-style,3,DVN|ENB|VLO,ENB,0.4501086139616882
Thomas-style,3,DVN|ENB|VLO,VLO,0.25979823609891445
Thomas-style,3,DVN|TRP|VLO,DVN,0.30573135780509153
Thomas-style,3,DVN|TRP|VLO,TRP,0.39639970734176744
Thomas-style,3,DVN|TRP|VLO,VLO,0.2978689348531409
Thomas-style,3,DVN|PBA|VLO,DVN,0.2656855641195335
Thomas-style,3,DVN|PBA|VLO,PBA,0.48251905602998024
Thomas-style,3,DVN|PBA|VLO,VLO,0.2517953798504862
Thomas-style,3,DVN|VLO|WMB,DVN,0.25604936107602977
Thomas-style,3,DVN|VLO|WMB,VLO,0.2905123430831653
Thomas-style,3,DVN|VLO|WMB,WMB,0.4534382958408049
Thomas-style,3,CNQ|MPC|OXY,CNQ,0.42532533813971835
Thomas-style,3,CNQ|MPC|OXY,MPC,0.36543433095264527
Thomas-style,3,CNQ|MPC|OXY,OXY,0.20924033090763647
Thomas-style,3,CVE|MPC|OXY,CVE,0.26075226113367367
Thomas-style,3,CVE|MPC|OXY,MPC,0.47023005621941166
Thomas-style,3,CVE|MPC|OXY,OXY,0.26901768264691456
Thomas-style,3,MPC|OXY|SU,MPC,0.3516400940888179
Thomas-style,3,MPC|OXY|SU,OXY,0.2172510812381385
Thomas-style,3,MPC|OXY|SU,SU,0.43110882467304357
Thomas-style,3,IMO|MPC|OXY,IMO,0.3953614967643465
Thomas-style,3,IMO|MPC|OXY,MPC,0.3572503027254095
Thomas-style,3,IMO|MPC|OXY,OXY,0.24738820051024413
Thomas-style,3,ENB|MPC|OXY,ENB,0.39853027024620935
Thomas-style,3,ENB|MPC|OXY,MPC,0.30559805886737873
Thomas-style,3,ENB|MPC|OXY,OXY,0.2958716708864119
Thomas-style,3,MPC|OXY|TRP,MPC,0.3463488693028101
Thomas-style,3,MPC|OXY|TRP,OXY,0.31155361356098
Thomas-style,3,MPC|OXY|TRP,TRP,0.34209751713620984
Thomas-style,3,MPC|OXY|PBA,MPC,0.2924872592825371
Thomas-style,3,MPC|OXY|PBA,OXY,0.27596786350022634
Thomas-style,3,MPC|OXY|PBA,PBA,0.43154487721723667
Thomas-style,3,MPC|OXY|WMB,MPC,0.31774681786041914
Thomas-style,3,MPC|OXY|WMB,OXY,0.2836115413169788
Thomas-style,3,MPC|OXY|WMB,WMB,0.3986416408226021
Thomas-style,3,CNQ|OXY|PSX,CNQ,0.42067584490820836
Thomas-style,3,CNQ|OXY|PSX,OXY,0.20450739480431393
Thomas-style,3,CNQ|OXY|PSX,PSX,0.3748167602874778
Thomas-style,3,CVE|OXY|PSX,CVE,0.2562173243522585
Thomas-style,3,CVE|OXY|PSX,OXY,0.26407748432357975
Thomas-style,3,CVE|OXY|PSX,PSX,0.4797051913241617
Thomas-style,3,OXY|PSX|SU,OXY,0.2110862795730881
Thomas-style,3,OXY|PSX|SU,PSX,0.36199667804205804
Thomas-style,3,OXY|PSX|SU,SU,0.42691704238485395
Thomas-style,3,IMO|OXY|PSX,IMO,0.3952328147502158
Thomas-style,3,IMO|OXY|PSX,OXY,0.23269769134416168
Thomas-style,3,IMO|OXY|PSX,PSX,0.3720694939056224
Thomas-style,3,ENB|OXY|PSX,ENB,0.3951439507410717
Thomas-style,3,ENB|OXY|PSX,OXY,0.28259382184263016
Thomas-style,3,ENB|OXY|PSX,PSX,0.3222622274162981
Thomas-style,3,OXY|PSX|TRP,OXY,0.29794713947035156
Thomas-style,3,OXY|PSX|TRP,PSX,0.3610269110866562
Thomas-style,3,OXY|PSX|TRP,TRP,0.3410259494429923
Thomas-style,3,OXY|PBA|PSX,OXY,0.2599184538187312
Thomas-style,3,OXY|PBA|PSX,PBA,0.42724418533484615
Thomas-style,3,OXY|PBA|PSX,PSX,0.31283736084642266
Thomas-style,3,OXY|PSX|WMB,OXY,0.2656492816403862
Thomas-style,3,OXY|PSX|WMB,PSX,0.3376557222041212
Thomas-style,3,OXY|PSX|WMB,WMB,0.3966949961554926
Thomas-style,3,CNQ|OXY|VLO,CNQ,0.47719923756368704
Thomas-style,3,CNQ|OXY|VLO,OXY,0.20594123105823792
Thomas-style,3,CNQ|OXY|VLO,VLO,0.316859531378075
