,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
SLB,0.5740772012667538,0.7153490200448509,0.6267493402190301,0.5638095733959279,0.7601530608903514,0.6041029399806974,0.40930572424280975,0.7576976078864474,0.22620598415096216,0.5979274503233497,0.36615879980279936,0.5607723322137566,0.5769053863773838,0.6393414106595994,0.5469533040099398,0.6630869254371263,0.6266627233462331,0.6327610322378366,0.535933327295846,0.3801860560246338,1.0,0.4568029246878996,0.6474880381217819,0.5898078306765856,0.458862583669871,0.1871515155582112,0.6050279859294663,0.6993673429478772,0.316054571483908,0.6373819403679781,0.4330458997907042,0.5466317328166576,0.3408171771230956,0.565198575386874,0.6724215631721118,0.36961443157546925,0.6854998363954848,0.5430928338643995
VLO,0.5005173423847364,0.5514712241069881,0.4932918417052609,0.4625885042201611,0.5907683281781836,0.4476672243979237,0.35360441817557764,0.42852665099358545,0.19405470075320516,0.5298478377224696,0.30463387770551426,0.4714891818838967,0.4448499281636168,0.5764431969427604,0.46555974803108974,0.5384829670160496,0.4454901536149515,0.4521909777786589,0.3916055503019086,0.3304138874618813,0.4568029246878996,1.0,0.820970158527955,0.8336686309134904,0.36992013845563415,0.19006402850939455,0.44679861650794067,0.5072595536348748,0.26645284430950933,0.5082613465686191,0.4016121124351033,0.4251332803505581,0.27952971225859685,0.41794181668254143,0.5626887258803823,0.31995399523402607,0.5082707094317132,0.451407040078301
PSX,0.48699560788493684,0.5727991511704399,0.6370097988254696,0.5362743384739312,0.6200864136373221,0.520167963952273,0.35206961214208715,0.6322831222747771,0.3271762013006247,0.6263509641840748,0.47546311618107556,0.5723301874211613,0.5225612848055184,0.6122755833638472,0.6217043281392377,0.5437551380370367,0.6901958860625851,0.6865814471971436,0.6764709130094098,0.46249667212889845,0.6474880381217819,0.820970158527955,1.0,0.7953874142164468,0.57213626397468,0.4618880242687485,0.6039831754232757,0.5857801761558062,0.4350910641827065,0.6170492317852904,0.4279180881440628,0.6050080027079662,0.49296911775745084,0.6293774525908377,0.5852818552629858,0.29218699612944427,0.5695214377769446,0.433216851308801
MPC,0.47745571851615076,0.5443213280114284,0.571745878149162,0.510906062368282,0.5868501079938483,0.5180619077841019,0.32145909231296743,0.5950841568134877,0.2967920858615299,0.5896441463856535,0.450080197109089,0.5398317779547342,0.5103350452930215,0.5925803327492245,0.5669219939496114,0.5103688665769587,0.6208258914419429,0.6256148408791176,0.6120968779387512,0.4930109499644421,0.5898078306765856,0.8336686309134904,0.7953874142164468,1.0,0.5453775817349609,0.44492800541202593,0.5564572453059247,0.5207353716415539,0.3874630964906598,0.5593037436830229,0.41694696252582103,0.5721271240455952,0.47545510627929694,0.5776240933510489,0.5505653283873091,0.2932869365787896,0.5258865149735604,0.41590975311157774
OKE,0.5208914896961305,0.5554910559079105,0.48208410400516133,0.7147322618191244,0.6202150997199536,0.7901760796488936,0.36272494385503085,0.4548864869331444,0.2585575242934057,0.508224938691604,0.4139754866206419,0.5192354336816148,0.6920964582038154,0.6100480031544181,0.46868727941303884,0.524205706255687,0.4835486224401474,0.49463207592937675,0.42452749414980784,0.3920831613030953,0.458862583669871,0.36992013845563415,0.57213626397468,0.5453775817349609,1.0,0.17679934108316966,0.5056530813902136,0.6428187496099856,0.327410217637509,0.566768619043986,0.525126661581101,0.4598986772928585,0.3985398558505985,0.4444709583352813,0.5798589090321934,0.33082794913849745,0.6474018215251931,0.4976049668465058
LNG,0.3128875389135817,0.3126677927047284,0.19848046302873062,0.44926364534144575,0.5054280054487875,0.4286309204160557,0.171825185895874,0.18870092951803616,0.15643338871637555,0.20366366731357052,0.15538347452119183,0.20141652718622732,0.3941756501589798,0.5512341075393051,0.19258387856218934,0.31935991405162145,0.1739482763810437,0.18839385480475573,0.18852388504387851,0.1641995879087286,0.1871515155582112,0.19006402850939455,0.4618880242687485,0.44492800541202593,0.17679934108316966,1.0,0.19033262512457375,0.5102022587094897,0.12809445537016817,0.19323592111381466,0.4629928996540898,0.15869721130206718,0.1650803448682604,0.18168361167405384,0.3185595516982667,0.15649284375629924,0.3909621061335973,0.27504185753853355
OXY,0.5757371291048581,0.6414832662742812,0.6321827773534819,0.5337659200062022,0.6175138192687825,0.6215570117280148,0.4139689447110421,0.5871253237002895,0.2058741136708828,0.623425860138601,0.37259143846286075,0.5891479153437191,0.5437262383167003,0.6585891262253033,0.5818839731517376,0.6099980855801943,0.627470726663763,0.622664959321601,0.550357758873289,0.36744187583513804,0.6050279859294663,0.44679861650794067,0.6039831754232757,0.5564572453059247,0.5056530813902136,0.19033262512457375,1.0,0.7490168105504831,0.3506576557674627,0.6853361114187353,0.47720466862950656,0.5361183543448016,0.35852031559804215,0.5567638953472215,0.6910311174724013,0.37233241970340825,0.7305117543843783,0.5527142946727425
FANG,0.49477966791723044,0.6290188193258331,0.7920609593433502,0.5492100205429745,0.6330909172429258,0.6383232586183136,0.35759126628992877,0.7515324319996337,0.3537104882933539,0.6725974679310659,0.4483273556945145,0.5958143941647013,0.5653481827271943,0.6619021884495807,0.6573862582227117,0.5761908702289527,0.6721615590600541,0.6735568177999067,0.7509199012156251,0.4616710850050651,0.6993673429478772,0.5072595536348748,0.5857801761558062,0.5207353716415539,0.6428187496099856,0.5102022587094897,0.7490168105504831,1.0,0.48760455505710226,0.7881247431319066,0.5123276746835722,0.6459887584874577,0.4788364589538025,0.6621385707689349,0.6952004341471754,0.32105486218555906,0.7244775557133324,0.4764130428135839
TPL,0.372427586736551,0.3601420509351125,0.3225217905070384,0.4023074160608757,0.5035203656464842,0.4553538557625064,0.26064450273908857,0.3268092359093397,0.18263767232639203,0.33285968742158506,0.24750756756428371,0.3068539238156339,0.3970694656524315,0.4854543323468721,0.32967595298871877,0.3426664284920927,0.2963398181617503,0.3211058357989075,0.3442199707693376,0.21958225062239453,0.316054571483908,0.26645284430950933,0.4350910641827065,0.3874630964906598,0.327410217637509,0.12809445537016817,0.3506576557674627,0.48760455505710226,1.0,0.35927345398214744,0.4248209882967909,0.2789022513399577,0.2176941683436733,0.2893151282872642,0.36350992228534695,0.23566380301231651,0.44835148864689384,0.29664912625745604
DVN,0.5615746101168734,0.6488994928400291,0.6977519055979994,0.6006103040720837,0.6579566522274092,0.6732938979020846,0.4659098384966797,0.6238549111146091,0.2458823976414009,0.6147710934333338,0.38784070169787704,0.5557963693163978,0.5861078146316131,0.692677150788059,0.6007909165429276,0.6127968864510107,0.6100238114985791,0.6305303125814508,0.6947127911604996,0.41261496763351996,0.6373819403679781,0.5082613465686191,0.6170492317852904,0.5593037436830229,0.566768619043986,0.19323592111381466,0.6853361114187353,0.7881247431319066,0.35927345398214744,1.0,0.5294149987121592,0.5756617106640848,0.3869845805422046,0.5943662354654813,0.7202826343983509,0.36346636720969744,0.7518446433804793,0.5541236661511165
EXE,0.3828308191473352,0.4232773881622887,0.5277902728187608,0.5553925713307625,0.4322403817638309,0.5417618246352112,0.7447324421367055,0.47992800910157885,0.2052233203268647,0.49285955686492144,0.40133187113033686,0.40428838160211433,0.4714206608738088,0.442209948482978,0.4766806003167765,0.41967081962433556,0.4896848959051637,0.4746281899007501,0.5072791738078206,0.561705452067127,0.4330458997907042,0.4016121124351033,0.4279180881440628,0.41694696252582103,0.525126661581101,0.4629928996540898,0.47720466862950656,0.5123276746835722,0.4248209882967909,0.5294149987121592,1.0,0.4559979206238891,0.4361888967106128,0.4459970554999912,0.5308993587982686,0.29737308012860664,0.4985850674624083,0.29352737866728046
SHEL,0.6080374879701028,0.6097423490609557,0.5501762078035535,0.588600128488698,0.6137383390014108,0.5925055330779033,0.3407407619678371,0.5125006319435714,0.31272078949650084,0.5852301008676811,0.38685052683094356,0.7013673247705464,0.6516573448940592,0.7444632948325367,0.5353941366042695,0.6375687597869496,0.620456540055686,0.6270773441839181,0.5883502368234164,0.3537671087484904,0.5466317328166576,0.4251332803505581,0.6050080027079662,0.5721271240455952,0.4598986772928585,0.15869721130206718,0.5361183543448016,0.6459887584874577,0.2789022513399577,0.5756617106640848,0.4559979206238891,1.0,0.3642127457331012,0.7046227241410788,0.6648359639702233,0.36777721384354856,0.660752317511886,0.5719365669953222
ENB,0.515752416805035,0.43642206255353805,0.33742204850354784,0.6372699274702538,0.5056025178646346,0.5861558030440731,0.290207578102518,0.32456834472908963,0.20800078008275596,0.46723082050924875,0.5303489674530865,0.43933364665092806,0.7147949222829775,0.5439547215498728,0.4147930270846699,0.4839549609171495,0.3506254325233957,0.3762201013539604,0.3728736498993354,0.29245940479551336,0.3408171771230956,0.27952971225859685,0.49296911775745084,0.47545510627929694,0.3985398558505985,0.1650803448682604,0.35852031559804215,0.4788364589538025,0.2176941683436733,0.3869845805422046,0.4361888967106128,0.3642127457331012,1.0,0.3548866971351983,0.5555065489605,0.3269962591238124,0.5623222523477773,0.45363079988060895
BP,0.5793220207239624,0.6112730893190867,0.5629415742427023,0.5776149826843201,0.6162769676680436,0.5703202178974177,0.383393930449486,0.5183630469126524,0.294947063649013,0.5999660183504537,0.3929799916211072,0.6789562753639002,0.6146446072879684,0.7593168298530504,0.565385640273461,0.6223718809006955,0.5769374651949472,0.5664378334239502,0.5331592422720426,0.3568176546335048,0.565198575386874,0.41794181668254143,0.6293774525908377,0.5776240933510489,0.4444709583352813,0.18168361167405384,0.5567638953472215,0.6621385707689349,0.2893151282872642,0.5943662354654813,0.4459970554999912,0.7046227241410788,0.3548866971351983,1.0,0.6652409230464494,0.3600914673205959,0.6399818050775705,0.5617457451146893
CNQ,0.6326468488756782,0.6386591697186276,0.7157912618983878,0.5717597562584938,0.5994309084376078,0.6297911355062046,0.46896179771679963,0.657795361172351,0.2505720322064769,0.8096122863950413,0.5429325414142488,0.6471306433281457,0.6463916899715162,0.7078969519060295,0.7516529359513674,0.6403673363859974,0.6508381283688593,0.6934360730867078,0.7312522769522053,0.4488540071019561,0.6724215631721118,0.5626887258803823,0.5852818552629858,0.5505653283873091,0.5798589090321934,0.3185595516982667,0.6910311174724013,0.6952004341471754,0.36350992228534695,0.7202826343983509,0.5308993587982686,0.6648359639702233,0.5555065489605,0.6652409230464494,1.0,0.4786702452133862,0.790580434318713,0.5871227562105971
CCJ,0.4339830229000372,0.44290726492392085,0.37335348611764446,0.34677937232286227,0.35510295758829424,0.34004199939615853,0.32779050073244614,0.3562621530642027,0.13062857102058062,0.43529795624784556,0.3424957997473306,0.374970830739515,0.34333962685095126,0.29515216405086037,0.4064170046417985,0.4856856615637698,0.3469417637106817,0.37253282304124,0.3777882691255877,0.2727703942455521,0.36961443157546925,0.31995399523402607,0.29218699612944427,0.2932869365787896,0.33082794913849745,0.15649284375629924,0.37233241970340825,0.32105486218555906,0.23566380301231651,0.36346636720969744,0.29737308012860664,0.36777721384354856,0.3269962591238124,0.3600914673205959,0.4786702452133862,1.0,0.3808776206733388,0.4024060488501662
CVE,0.5452625556560257,0.6187763965226183,0.7115542342971457,0.5272855941677195,0.6306905360045832,0.6680944037429298,0.3559295895536194,0.7092216237489999,0.3508177556902036,0.7590008501496334,0.5171435162621473,0.6314526150086024,0.6056070061386436,0.6675422205124891,0.7352301082317804,0.6116072353938287,0.6620840477523479,0.6727149162567977,0.7231710644688757,0.47932320464464795,0.6854998363954848,0.5082707094317132,0.5695214377769446,0.5258865149735604,0.6474018215251931,0.3909621061335973,0.7305117543843783,0.7244775557133324,0.44835148864689384,0.7518446433804793,0.4985850674624083,0.660752317511886,0.5623222523477773,0.6399818050775705,0.790580434318713,0.3808776206733388,1.0,0.5423763333554901
PBR,0.5441540684677485,0.5236416516545939,0.5415999052058241,0.45241041063056237,0.5087701747166812,0.48280899816141115,0.3618515450414523,0.5275232246218994,0.20565524219009979,0.5769970112506646,0.44667203059398664,0.5684818504086584,0.5084627588481596,0.5840201710007358,0.5525397490064295,0.5726955355068666,0.5483377598472284,0.581749308622197,0.5870865704128179,0.383333308733393,0.5430928338643995,0.451407040078301,0.433216851308801,0.41590975311157774,0.4976049668465058,0.27504185753853355,0.5527142946727425,0.4764130428135839,0.29664912625745604,0.5541236661511165,0.29352737866728046,0.5719365669953222,0.45363079988060895,0.5617457451146893,0.5871227562105971,0.4024060488501662,0.5423763333554901,1.0
