basket_type,n_stocks,stocks,test_correlation,test_r_squared,test_tracking_error,test_rmse,annualized_xom_volatility,annualized_basket_volatility,volatility_reduction,xom_final_wealth,basket_final_wealth,xom_max_drawdown,basket_max_drawdown
Thomas-style,3,DVN|ENB|VLO,0.7207768412243079,0.514764415577921,0.010922275568439782,0.01090298644071421,0.24891549641880834,0.196516558717512,0.21050894160937828,151.76733944897228,155.6202414078874,-0.20133304516380612,-0.09222570950809306
Thomas-style,3,CNQ|FANG|PSX,0.7684159574475786,0.5129120970833332,0.010925892097484728,0.010923776925912643,0.24891549641880834,0.2598859653916746,-0.04407306548085721,151.76733944897228,180.266704489511,-0.20133304516380612,-0.1487253743310133
Thomas-style,3,CNQ|EOG|VLO,0.7684077486476812,0.5096660085723218,0.010970645226954524,0.010960116018453528,0.24891549641880834,0.2616548578262408,-0.05117946287280595,151.76733944897228,171.9665199771437,-0.20133304516380612,-0.1333031938543523
Thomas-style,3,EOG|IMO|MPC,0.7553107703821016,0.510058233709147,0.010971710904011882,0.010955731565102794,0.24891549641880834,0.2490303502518626,-0.0004614169656236289,151.76733944897228,164.39317447658678,-0.20133304516380612,-0.12242821488249533
Thomas-style,3,ENB|FANG|VLO,0.7150719850831493,0.5083466541012547,0.010994268426669123,0.01097485144800529,0.24891549641880834,0.19150684138745894,0.230635118573564,151.76733944897228,155.64224843452342,-0.20133304516380612,-0.08014468225924076
Thomas-style,3,DVN|ENB|MPC,0.7185321761084554,0.5077208815204362,0.011001636459074204,0.010981833580084,0.24891549641880834,0.20189350310596793,0.1889074565037301,151.76733944897228,152.0516227842396,-0.20133304516380612,-0.10392360895363162
Thomas-style,3,CNQ|EOG|MPC,0.7652158561026802,0.5064995419635792,0.011009987057075258,0.010995448050472548,0.24891549641880834,0.260251200995879,-0.04554037309914194,151.76733944897228,166.84663775278094,-0.20133304516380612,-0.14222222742402935
Thomas-style,3,CNQ|PSX|SU,0.7521724213532649,0.5047287364111832,0.01101201975290225,0.011015157622023347,0.24891549641880834,0.24767435881251107,0.004986180547831398,151.76733944897228,184.92822246463362,-0.20133304516380612,-0.16095739258417718
Thomas-style,3,CNQ|PSX|SU,0.7521724213532649,0.5047287364111832,0.01101201975290225,0.011015157622023347,0.24891549641880834,0.24767435881251107,0.004986180547831398,151.76733944897228,184.92822246463362,-0.20133304516380612,-0.16095739258417718
Thomas-style,3,DVN|TRP|VLO,0.7187240622853732,0.5047730722708881,0.011027993382063722,0.011014664581694956,0.24891549641880834,0.20524990462447212,0.17542335620948024,151.76733944897228,168.632280757119,-0.20133304516380612,-0.09728658861073924
Thomas-style,3,ENB|MPC|OXY,0.7173174759316064,0.5038641228830429,0.011044614353999527,0.011024768215330142,0.24891549641880834,0.20427174608914048,0.1793530373639467,151.76733944897228,150.5804721836834,-0.20133304516380612,-0.11480070779282536
Thomas-style,3,CNQ|DVN|PSX,0.7676998597281517,0.5021532329989601,0.01104475535607849,0.011043760926850247,0.24891549641880834,0.2638797962483378,-0.060117992028714706,151.76733944897228,181.6048604874806,-0.20133304516380612,-0.16053323516706697
Thomas-style,3,ENB|OXY|VLO,0.7145081704687086,0.503150953988043,0.011052464268670287,0.011032689128398653,0.24891549641880834,0.19920679369053268,0.19970111722027606,151.76733944897228,153.96589267461357,-0.20133304516380612,-0.1017764042632342
Thomas-style,3,DVN|PBA|VLO,0.721207201862335,0.5017079447003749,0.011064313551976008,0.011048698749798304,0.24891549641880834,0.21295580522329083,0.1444654580083442,151.76733944897228,165.34988885047477,-0.20133304516380612,-0.10569490317508123
Thomas-style,3,OXY|PSX|WMB,0.7204623039313465,0.5008232873042646,0.011078403787308403,0.011058502215989485,0.24891549641880834,0.2129506283527756,0.14448625571113782,151.76733944897228,153.05199443284707,-0.20133304516380612,-0.11981092814567418
Thomas-style,3,FANG|IMO|PSX,0.7480872812509934,0.4990936617104489,0.011082796297272999,0.011077644263288285,0.24891549641880834,0.2467760390564651,0.008595115182156055,151.76733944897228,177.94591751860384,-0.20133304516380612,-0.13724914998845283
Thomas-style,3,ENB|PSX|SU,0.7091396305253547,0.49826739865945335,0.011103495645388954,0.011086776985303083,0.24891549641880834,0.19286814109954115,0.22516619545842065,151.76733944897228,163.56276523099743,-0.20133304516380612,-0.12519050628194395
Thomas-style,3,FANG|TRP|VLO,0.7115251014901777,0.4968076736780107,0.011116582398820742,0.011102893031311832,0.24891549641880834,0.2005756070921196,0.19420200840109736,151.76733944897228,168.42641617764374,-0.20133304516380612,-0.08469254364326417
Thomas-style,3,PSX|SU|TRP,0.7106292694320488,0.49553983777801536,0.011126942958205878,0.011116871573877586,0.24891549641880834,0.19990382096816448,0.19690086055622724,151.76733944897228,172.973028607433,-0.20133304516380612,-0.12872490392659763
Thomas-style,3,CVE|ENB|PSX,0.7128768591198563,0.495445239467612,0.01112925172354622,0.01111791386427975,0.24891549641880834,0.20466694497262472,0.17776535443873698,151.76733944897228,171.49867238503725,-0.20133304516380612,-0.10521344449993775
