stock_1,stock_2,observations,correlation,volatility_1,volatility_2,volatility_difference,return_difference_std
E,CNQ,6554,0.6471306433281432,0.018567342414647314,0.026035705977223836,0.007468363562576522,0.019923361549631414
PBA,CVX,3993,0.6464261075557393,0.01921082965795887,0.01698519983591933,0.0022256298220395404,0.015352380768946586
PBA,CNQ,3993,0.6463916899715165,0.01921082965795887,0.024687392699930887,0.005476563041972016,0.019115466049755607
FANG,SHEL,3483,0.6459887584874577,0.03016237940097745,0.018423221664593942,0.011739157736383506,0.023048808313437995
TRGP,HAL,3950,0.6442298752063977,0.030633248028124498,0.02703492591344917,0.0035983221146753293,0.024540222011839523
FTI,CVX,6334,0.6436286615063296,0.027381102081088595,0.017258873764470887,0.010122228316617708,0.02095896380012393
SU,PBA,3993,0.6432529252485661,0.022206714685240048,0.01921082965795887,0.0029958850272811775,0.017701939087367287
OKE,FANG,3483,0.6428187496099843,0.025039470547651623,0.03016237940097745,0.005122908853325826,0.02378584624198148
TRGP,WMB,3950,0.6424590666275461,0.030633248028124498,0.023368816806297717,0.007264431221826781,0.023762837387331853
SU,COP,8236,0.6423959885372775,0.02294919083409766,0.020155297220113864,0.0027938936139837965,0.018401731224368435
FTI,OXY,6334,0.6414832662742804,0.027381102081088595,0.025962806904226306,0.0014182951768622887,0.02262175222497532
BKR,TS,2296,0.6410095003723635,0.025216969272738986,0.02363272913241896,0.001584240140320027,0.02074578465474033
TS,CNQ,5958,0.6403673363859982,0.02520614781485461,0.026546012813268297,0.0013398649984136882,0.021978899254331895
BP,CVE,4215,0.639981805077569,0.019133091323447794,0.02927519107143669,0.010142099747988895,0.022498277739395462
EQNR,SLB,2078,0.6393414106595982,0.02308650389249311,0.027772240723259765,0.004685736830766656,0.022009968116476958
FTI,CNQ,6334,0.6386591697186291,0.027381102081088595,0.026176123719227902,0.001204978361860693,0.022790796512686846
TRGP,FANG,3483,0.6383232586183152,0.03185964256224167,0.03016237940097745,0.0016972631612642217,0.026419620832878663
TS,SHEL,5958,0.6375687597869503,0.02520614781485461,0.01837119835541428,0.006834949459440329,0.01955445040769549
SLB,DVN,8669,0.6373819403679796,0.023347149170406915,0.026190818633795864,0.002843669463388949,0.02124981239597333
SU,TS,5958,0.6373043904088171,0.024583890604582676,0.02520614781485461,0.0006222572102719329,0.021210537116310383
KMI,ENB,3904,0.6372699274702539,0.01801533455406325,0.015198744936855012,0.002816589617208239,0.014372604630598635
EOG,PSX,3611,0.63700979882547,0.023576428499355442,0.021123561127816888,0.0024528673715385543,0.019172061957631346
TS,COP,5958,0.6362796317216276,0.02520614781485461,0.021199477050274543,0.004006670764580066,0.020118811370040037
PBA,COP,3993,0.6349994926377145,0.01921082965795887,0.021484450167731126,0.002273620509772256,0.01750616094793344
KMI,CVX,3904,0.6345304010014077,0.01801533455406325,0.017112209599981196,0.0009031249540820546,0.015038323202694001
PBA,IMO,3993,0.6339625131163906,0.01921082965795887,0.0205894954821663,0.0013786658242074291,0.017072392898646614
TRGP,COP,3950,0.6333256875020215,0.030633248028124498,0.021564682184497676,0.009068565843626822,0.02380517263003832
