basket_type,n_stocks,stocks,test_correlation,test_r_squared,test_tracking_error,test_rmse,annualized_xom_volatility,annualized_basket_volatility,volatility_reduction,xom_final_wealth,basket_final_wealth,xom_max_drawdown,basket_max_drawdown
unrestricted,3,HAL|VLO|DVN,0.7096556891345561,0.3016895740846953,0.013074252181971375,0.013079568420852752,0.24891549641880834,0.2876405745724398,-0.1555752000609687,151.76733944897228,193.20112935403458,-0.20133304516380612,-0.1399734590466266
unrestricted,3,HAL|SLB|IMO,0.6590229440967766,0.3007101281512563,0.013107828849063353,0.013088737868071543,0.24891549641880834,0.25485929016675374,-0.023878761400796034,151.76733944897228,166.9698529322805,-0.20133304516380612,-0.20409940913519753
unrestricted,3,VLO|PSX|CVE,0.7059583258552644,0.2817455846316348,0.013214688940237727,0.013265032036127864,0.24891549641880834,0.2894176134854327,-0.16271432534066999,151.76733944897228,224.00552826422745,-0.20133304516380612,-0.1359757068933779
unrestricted,3,HAL|SLB|FANG,0.6854564224720354,0.28686762984840053,0.013240233163979953,0.013217649341568606,0.24891549641880834,0.27705877704289006,-0.11306359398665067,151.76733944897228,159.63702761699182,-0.20133304516380612,-0.1957730550842448
unrestricted,3,HAL|OXY|SLB,0.6954680770360412,0.28630334807775903,0.01324646182770984,0.013222877686296862,0.24891549641880834,0.28368961487924266,-0.13970250531098216,151.76733944897228,155.3195207344185,-0.20133304516380612,-0.20987633769656266
unrestricted,3,HAL|VLO|CVE,0.7024642343415153,0.272562863897324,0.01331424072621652,0.013349557954597979,0.24891549641880834,0.29012291189536243,-0.1655478106803816,151.76733944897228,215.2321807588806,-0.20133304516380612,-0.16112167639650532
unrestricted,3,HAL|SLB|PSX,0.6585070495731248,0.24722306474229805,0.013588559567954496,0.013580079205881989,0.24891549641880834,0.2708703333246826,-0.08820196902861577,151.76733944897228,182.26291843753773,-0.20133304516380612,-0.1375275136763272
unrestricted,3,HAL|SLB|DVN,0.6793692703754062,0.23175924501084466,0.013742212029522726,0.013718853622495066,0.24891549641880834,0.28838484868963454,-0.1585652674850655,151.76733944897228,160.2033281233405,-0.20133304516380612,-0.20877829627676248
unrestricted,3,HAL|SLB|CVE,0.6789115867230019,0.22954379309302497,0.013742469341541967,0.013738620589914806,0.24891549641880834,0.2881168356704666,-0.15748854456895978,151.76733944897228,187.3334193932503,-0.20133304516380612,-0.21717834347893794
unrestricted,3,HAL|VLO|PSX,0.6673023893616274,0.2184789699329983,0.01383281992103524,0.013836921766575968,0.24891549641880834,0.2837893696350173,-0.14010326282592112,151.76733944897228,194.66463952610619,-0.20133304516380612,-0.13141331642921272
unrestricted,3,SLB|VLO|PSX,0.6251823258003211,0.17944403885817894,0.014180002388562396,0.014178270356871147,0.24891549641880834,0.26931965905574595,-0.08197224733090525,151.76733944897228,190.68210143043237,-0.20133304516380612,-0.12985342263690502
unrestricted,3,HAL|SLB|VLO,0.6255039400236607,0.1284514262550862,0.01461103624049278,0.014612177839676211,0.24891549641880834,0.2825060834254459,-0.1349477533135195,151.76733944897228,194.64917177783818,-0.20133304516380612,-0.1436727479364024
unrestricted,4,COP|PSX|OKE|E,0.8293880441804853,0.6731772042392763,0.008962017587057914,0.008947986523769009,0.24891549641880834,0.23647646271504724,0.04997291804939308,151.76733944897228,160.17494799242849,-0.20133304516380612,-0.15964417501624084
unrestricted,4,COP|EOG|OKE|E,0.8277770135884512,0.6679700547023639,0.00903486154463751,0.009018987352082238,0.24891549641880834,0.23870666796263737,0.041013229803074536,151.76733944897228,148.26869222399364,-0.20133304516380612,-0.1656513266492201
unrestricted,4,COP|SU|OKE|E,0.8241739684142492,0.6664634408479496,0.00905521775804149,0.00903942639988501,0.24891549641880834,0.23326905834534148,0.0628584330769878,151.76733944897228,155.87181356827716,-0.20133304516380612,-0.17733154403906315
unrestricted,4,COP|IMO|OKE|E,0.8241168629471749,0.6656609898161929,0.009066437702856653,0.009050293783369733,0.24891549641880834,0.23405094751544236,0.05971724989896121,151.76733944897228,154.17648429495944,-0.20133304516380612,-0.1710966757671344
unrestricted,4,COP|EOG|PSX|E,0.8284690880405494,0.6653726486196931,0.00906677659159707,0.009054195526904335,0.24891549641880834,0.24204181887193846,0.027614502294002197,151.76733944897228,163.15419633896494,-0.20133304516380612,-0.16093066077945073
unrestricted,4,COP|SU|PSX|E,0.8253612804134878,0.6639562493458124,0.009079312366184502,0.009073337437954729,0.24891549641880834,0.23741640624505006,0.046196762914313294,151.76733944897228,171.21278807854299,-0.20133304516380612,-0.17475364426374884
