,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
SLB,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,0.2808219178082192,1.0,1.0,0.9960159362549801,0.9175824175824175,1.0,1.0,0.42592592592592593,1.0,0.4230769230769231,0.948905109489051,0.3333333333333333,1.0,1.0,0.7652173913043478,0.6666666666666666,,1.0,0.6521739130434783,0.8559322033898306,1.0,1.0,1.0,0.18518518518518517
VLO,1.0,1.0,0.16216216216216217,1.0,1.0,,0.8393782383419689,0.7350427350427351,0.0,1.0,0.013071895424836602,1.0,1.0,1.0,0.9971181556195965,,0.005076142131979695,1.0,0.975,0.2197452229299363,0.42592592592592593,1.0,1.0,1.0,0.006756756756756757,0.25,0.8045977011494253,,0.3090128755364807,1.0,,,0.0058997050147492625,1.0,1.0,1.0,1.0,1.0
PSX,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0196078431372549,1.0,1.0,0.05555555555555555,1.0,1.0,0.5,0.022727272727272728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MPC,0.03333333333333333,0.75,1.0,1.0,,1.0,1.0,0.25,1.0,1.0,1.0,0.028169014084507043,1.0,1.0,1.0,0.07272727272727272,1.0,1.0,1.0,1.0,0.4230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0
OKE,0.9555555555555556,1.0,1.0,1.0,0.7142857142857143,1.0,0.8988970588235294,0.9391727493917275,0.7272727272727273,1.0,0.6369982547993019,0.7738095238095238,1.0,0.3333333333333333,0.29285714285714287,0.782608695652174,0.9714828897338403,0.9819277108433735,1.0,0.7213114754098361,0.948905109489051,0.006756756756756757,1.0,1.0,1.0,0.9396411092985318,0.9057750759878419,1.0,0.11653543307086614,0.10931899641577061,,0.9924812030075187,0.9856459330143541,0.2859960552268245,0.8636363636363636,0.0,1.0,0.0392156862745098
LNG,0.996,0.9,0.26506024096385544,1.0,0.5789473684210527,0.19736842105263158,0.8243243243243243,0.10126582278481013,0.7272727272727273,1.0,0.5017543859649123,0.722007722007722,0.18421052631578946,1.0,0.25,0.25555555555555554,0.9707865168539326,0.993421052631579,0.9406631762652705,0.49156118143459915,0.3333333333333333,0.25,1.0,1.0,0.9396411092985318,1.0,0.3953488372093023,1.0,0.2790886899918633,0.09691629955947137,1.0,0.7647058823529411,0.9775700934579439,0.20437956204379562,0.3275862068965517,0.10351966873706005,1.0,0.5326923076923077
OXY,1.0,1.0,0.9498680738786279,1.0,1.0,1.0,1.0,0.9958847736625515,0.9672131147540983,1.0,0.9962546816479401,1.0,1.0,1.0,0.034858387799564274,1.0,0.9924012158054711,1.0,0.9877750611246944,0.5255813953488372,1.0,0.8045977011494253,1.0,1.0,0.9057750759878419,0.3953488372093023,1.0,1.0,0.5137614678899083,0.5208333333333334,,0.4722222222222222,1.0,0.624390243902439,1.0,1.0,1.0,1.0
FANG,0.5,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.14285714285714285,1.0,0.75,0.8888888888888888,1.0,0.5,1.0,1.0,0.0,0.8888888888888888,0.8888888888888888,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,,1.0,0.8
TPL,0.9496124031007752,0.8875968992248062,0.9809027777777778,1.0,1.0,0.6491228070175439,0.25057471264367814,0.8997050147492626,0.6414141414141414,0.42857142857142855,0.7932960893854749,0.407158836689038,0.9142857142857143,1.0,0.37971014492753624,0.030973451327433628,0.41089108910891087,0.8799019607843137,0.5171232876712328,0.8595825426944972,0.7652173913043478,0.3090128755364807,1.0,1.0,0.11653543307086614,0.2790886899918633,0.5137614678899083,1.0,1.0,0.6,1.0,0.6694677871148459,0.6182749786507259,0.6768447837150128,0.7808764940239044,1.0,0.5857142857142857,0.9738562091503268
DVN,1.0,1.0,0.17197452229299362,1.0,0.5555555555555556,1.0,0.28169014084507044,0.6628787878787878,0.1791044776119403,0.391304347826087,0.3142857142857143,1.0,1.0,1.0,0.9975124378109452,1.0,0.21380846325167038,1.0,0.6758241758241759,0.09064327485380116,0.6666666666666666,1.0,1.0,1.0,0.10931899641577061,0.09691629955947137,0.5208333333333334,1.0,0.6,1.0,,1.0,0.06372549019607843,1.0,1.0,1.0,1.0,1.0
EXE,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,0.0,,0.0,
SHEL,1.0,1.0,1.0,0.961038961038961,1.0,1.0,0.045454545454545456,0.9333333333333333,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.784037558685446,1.0,1.0,0.8382352941176471,1.0,,1.0,1.0,0.9924812030075187,0.7647058823529411,0.4722222222222222,1.0,0.6694677871148459,1.0,,1.0,1.0,1.0,0.34210526315789475,0.006711409395973154,1.0,0.03669724770642202
ENB,1.0,0.8582677165354331,0.0918918918918919,1.0,1.0,0.961038961038961,0.5614035087719298,0.4,1.0,,0.865546218487395,0.8467966573816156,1.0,1.0,0.0010395010395010396,0.16279069767441862,1.0,1.0,1.0,0.7950581395348837,0.6521739130434783,0.0058997050147492625,1.0,1.0,0.9856459330143541,0.9775700934579439,1.0,0.0,0.6182749786507259,0.06372549019607843,,1.0,1.0,0.5280898876404494,0.008620689655172414,0.06779661016949153,1.0,0.9094202898550725
BP,1.0,1.0,0.7864583333333334,1.0,0.16666666666666666,1.0,0.11228070175438597,0.5,0.5,1.0,0.4669603524229075,1.0,0.041666666666666664,1.0,0.9975961538461539,1.0,0.44642857142857145,0.9965156794425087,0.875,0.855,0.8559322033898306,1.0,1.0,1.0,0.2859960552268245,0.20437956204379562,0.624390243902439,1.0,0.6768447837150128,1.0,,1.0,0.5280898876404494,1.0,0.4418604651162791,0.411522633744856,1.0,0.0380952380952381
CNQ,1.0,0.875,1.0,0.5,0.5,1.0,0.5882352941176471,0.5,0.008,1.0,0.013888888888888888,0.9285714285714286,0.7692307692307693,0.5,1.0,0.9090909090909091,0.18604651162790697,0.75,0.8695652173913043,1.0,1.0,1.0,1.0,,0.8636363636363636,0.3275862068965517,1.0,1.0,0.7808764940239044,1.0,0.0,0.34210526315789475,0.008620689655172414,0.4418604651162791,1.0,1.0,1.0,1.0
CCJ,1.0,0.38461538461538464,1.0,1.0,1.0,,0.3372093023255814,1.0,1.0,,0.652014652014652,0.4,1.0,1.0,0.7195121951219512,1.0,0.031914893617021274,0.2,0.25396825396825395,1.0,1.0,1.0,1.0,1.0,0.0,0.10351966873706005,1.0,,1.0,1.0,,0.006711409395973154,0.06779661016949153,0.411522633744856,1.0,1.0,,1.0
CVE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02040816326530612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5857142857142857,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0
PBR,0.9853479853479854,0.8108108108108109,1.0,1.0,1.0,0.9,1.0,0.47540983606557374,0.9666666666666667,1.0,0.9921259842519685,1.0,1.0,1.0,0.007246376811594203,1.0,0.6951754385964912,0.8772727272727273,0.9128787878787878,1.0,0.18518518518518517,1.0,1.0,1.0,0.0392156862745098,0.5326923076923077,1.0,0.8,0.9738562091503268,1.0,,0.03669724770642202,0.9094202898550725,0.0380952380952381,1.0,1.0,1.0,1.0
