date,WDS,FTI,EOG,KMI,BKR,TRGP,EQT,HAL,TTE,SU,TRP,E,PBA,EQNR,IMO,TS,XOM,CVX,COP,WMB,SLB,VLO,PSX,MPC,OKE,LNG,OXY,FANG,TPL,DVN,EXE,SHEL,ENB,BP,CNQ,CCJ,CVE,PBR
1980-06-12,,,,,,,,6.6391461685,,,,,,,,,1.1252660776,4.3675330812,,,,,,,,,,,,,,,,3.9879522602,,,,
1980-06-13,,,,,,,,6.593568506,,,,,,,,,1.090529603,4.2555450535,,,,,,,,,,,,,,,,3.9103278853,,,,
1980-06-16,,,,,,,,6.7303014934,,,,,,,,,1.0967267205,4.2835420604,,,,,,,,,,,,,,,,3.9879522602,,,,
1980-06-17,,,,,,,,6.8141643924,,,,,,,,,1.094606654,4.3322568525,,,,,,,,,,,,,,,,3.895967376,,,,
1980-06-18,,,,,,,,6.7837792841,,,,,,,,,1.1211890266,4.4162478733,,,,,,,,,,,,,,,,3.9103278853,,,,
1980-06-19,,,,,,,,6.6999163851,,,,,,,,,1.1048808225,4.3395360743,,,,,,,,,,,,,,,,3.9006248385,,,,
1980-06-20,,,,,,,,6.6695312768,,,,,,,,,1.1008037715,4.3255375708,,,,,,,,,,,,,,,,3.8132974167,,,,
1980-06-23,,,,,,,,6.6695312768,,,,,,,,,1.1171119756,4.3535345777,,,,,,,,,,,,,,,,1.8823910912,,,,
1980-06-24,,,,,,,,6.7758791559,,,,,,,,,1.1130349246,4.4162478733,,,,,,,,,,,,,,,,1.9359519099,,,,
1980-06-25,,,,,,,,7.0949227933,,,,,,,,,1.1211890266,4.4795211089,,,,,,,,,,,,,,,,1.9646729286,,,,
1980-06-26,,,,,,,,6.966089934,,,,,,,,,1.123146011,4.4375255985,,,,,,,,,,,,,,,,1.9359519099,,,,
1980-06-27,,,,,,,,6.9205122715,,,,,,,,,1.114991909,4.4655226055,,,,,,,,,,,,,,,,1.9794215598,,,,
1980-06-30,,,,,,,,6.6543387226,,,,,,,,,1.0804185165,4.2835420604,,,,,,,,,,,,,,,,1.9359519099,,,,
1980-07-01,,,,,,,,6.7533941758,,,,,,,,,1.0926496695,4.3042598455,,,,,,,,,,,,,,,,1.9212032787,,,,
1980-07-02,,,,,,,,6.8141643924,,,,,,,,,1.0967267205,4.3395360743,,,,,,,,,,,,,,,,1.9359519099,,,,
1980-07-03,,,,,,,,6.8445495007,,,,,,,,,1.1252660776,4.4302463767,,,,,,,,,,,,,,,,1.9017971849,,,,
1980-07-07,,,,,,,,6.8974195892,,,,,,,,,1.1252660776,4.4375255985,,,,,,,,,,,,,,,,1.8870485537,,,,
1980-07-08,,,,,,,,6.8670344809,,,,,,,,,1.110914858,4.4375255985,,,,,,,,,,,,,,,,1.9017971849,,,,
1980-07-09,,,,,,,,6.7910717101,,,,,,,,,1.1089578735,4.4095285916,,,,,,,,,,,,,,,,1.9017971849,,,,
1980-07-10,,,,,,,,6.6318537425,,,,,,,,,1.0926496695,4.2275480466,,,,,,,,,,,,,,,,1.8532819506,,,,
1980-07-11,,,,,,,,6.7151089393,,,,,,,,,1.110914858,4.3115390673,,,,,,,,,,,,,,,,1.9115002318,,,,
1980-07-14,,,,,,,,6.8214568184,,,,,,,,,1.1374972306,4.3955300881,,,,,,,,,,,,,,,,1.9115002318,,,,
1980-07-15,,,,,,,,6.8293569466,,,,,,,,,1.1313001131,4.2555450535,,,,,,,,,,,,,,,,1.8823910912,,,,
1980-07-16,,,,,,,,6.8366493726,,,,,,,,,1.1313001131,4.2695435569,,,,,,,,,,,,,,,,1.9017971849,,,,
1980-07-17,,,,,,,,7.0493451308,,,,,,,,,1.1557624191,4.3955300881,,,,,,,,,,,,,,,,1.9115002318,,,,
1980-07-18,,,,,,,,7.1253079016,,,,,,,,,1.1456513326,4.4235270951,,,,,,,,,,,,,,,,1.8726880443,,,,
1980-07-21,,,,,,,,7.0797302391,,,,,,,,,1.1741906896,4.451524102,,,,,,,,,,,,,,,,1.8777336287,,,,
1980-07-22,,,,,,,,7.0341525767,,,,,,,,,1.1701136386,4.4235270951,,,,,,,,,,,,,,,,1.8920941381,,,,
1980-07-23,,,,,,,,7.0949227933,,,,,,,,,1.1761476741,4.451524102,,,,,,,,,,,,,,,,1.8823910912,,,,
1980-07-24,,,,,,,,7.1860781183,,,,,,,,,1.1639165211,4.4722418871,,,,,,,,,,,,,,,,1.9064546474,,,,
1980-07-25,,,,,,,,7.1405004558,,,,,,,,,1.1497283836,4.4022493698,,,,,,,,,,,,,,,,1.8389214413,,,,
1980-07-28,,,,,,,,7.2851335714,,,,,,,,,1.1660365876,4.4375255985,,,,,,,,,,,,,,,,1.8288302725,,,,
1980-07-29,,,,,,,,7.3307112339,,,,,,,,,1.1761476741,4.4442448802,,,,,,,,,,,,,,,,1.8532819506,,,,
1980-07-30,,,,,,,,7.2620408891,,,,,,,,,1.1516853681,4.24154655,,,,,,,,,,,,,,,,1.7659545289,,,,
1980-07-31,,,,,,,,7.1253079016,,,,,,,,,1.1353771641,4.1715540327,,,,,,,,,,,,,,,,1.7465484351,,,,
1980-08-01,,,,,,,,7.0037674683,,,,,,,,,1.1476083171,4.1155600188,,,,,,,,,,,,,,,,1.7612970664,,,,
1980-08-04,,,,,,,,6.9964750423,,,,,,,,,1.1415742816,4.0175704946,,,,,,,,,,,,,,,,1.7659545289,,,,
1980-08-05,,,,,,,,7.0268601507,,,,,,,,,1.1456513326,3.9962927693,,,,,,,,,,,,,,,,1.7807031601,,,,
1980-08-06,,,,,,,,7.0341525767,,,,,,,,,1.1557624191,4.108280797,,,,,,,,,,,,,,,,1.7756575757,,,,
1980-08-07,,,,,,,,7.1484005839,,,,,,,,,1.1394542151,4.2275480466,,,,,,,,,,,,,,,,1.7950636694,,,,
1980-08-08,,,,,,,,7.2851335714,,,,,,,,,1.1374972306,4.1995510396,,,,,,,,,,,,,,,,1.8482363663,,,,
1980-08-11,,,,,,,,7.4595440932,,,,,,,,,1.1516853681,4.2275480466,,,,,,,,,,,,,,,,1.9406093724,,,,
1980-08-12,,,,,,,,7.345903788,,,,,,,,,1.1435312661,4.1575555292,,,,,,,,,,,,,,,,1.8777336287,,,,
1980-08-13,,,,,,,,7.3307112339,,,,,,,,,1.1435312661,4.1222793005,,,,,,,,,,,,,,,,1.8726880443,,,,
1980-08-14,,,,,,,,7.535506864,,,,,,,,,1.1660365876,4.1995510396,,,,,,,,,,,,,,,,1.9115002318,,,,
1980-08-15,,,,,,,,7.5585995463,,,,,,,,,1.1782677406,4.2695435569,,,,,,,,,,,,,,,,1.9309063255,,,,
1980-08-18,,,,,,,,7.3076185516,,,,,,,,,1.1476083171,4.2275480466,,,,,,,,,,,,,,,,1.8629849975,,,,
1980-08-19,,,,,,,,7.2924259974,,,,,,,,,1.1415742816,4.1995510396,,,,,,,,,,,,,,,,1.8435789038,,,,
1980-08-20,,,,,,,,7.2851335714,,,,,,,,,1.1578824856,4.2135495431,,,,,,,,,,,,,,,,1.858327535,,,,
1980-08-21,,,,,,,,7.4139664307,,,,,,,,,1.1701136386,4.2555450535,,,,,,,,,,,,,,,,1.9406093724,,,,
1980-08-22,,,,,,,,7.5658919723,,,,,,,,,1.1761476741,4.2062703213,,,,,,,,,,,,,,,,1.9600154661,,,,
1980-08-25,,,,,,,,7.528214438,,,,,,,,,1.1720706231,4.2482658317,,,,,,,,,,,,,,,,1.9452668349,,,,
1980-08-26,,,,,,,,7.5737921005,,,,,,,,,1.1720706231,4.2695435569,,,,,,,,,,,,,,,,1.9452668349,,,,
1980-08-27,,,,,,,,7.4899292015,,,,,,,,,1.1660365876,4.1782733144,,,,,,,,,,,,,,,,1.9212032787,,,,
1980-08-28,,,,,,,,7.2468483349,,,,,,,,,1.1415742816,4.1295585223,,,,,,,,,,,,,,,,1.8629849975,,,,
1980-08-29,,,,,,,,7.1787856923,,,,,,,,,1.1415742816,4.108280797,,,,,,,,,,,,,,,,1.9017971849,,,,
1980-09-02,,,,,,,,7.345903788,,,,,,,,,1.1538054346,4.0875630119,,,,,,,,,,,,,,,,1.9309063255,,,,
1980-09-03,,,,,,,,7.5585995463,,,,,,,,,1.1720706231,4.1435570258,,,,,,,,,,,,,,,,1.9988276535,,,,
1980-09-04,,,,,,,,7.528214438,,,,,,,,,1.1679935721,4.0942822936,,,,,,,,,,,,,,,,2.0085307004,,,,
1980-09-05,,,,,,,,7.5658919723,,,,,,,,,1.1720706231,4.1015615154,,,,,,,,,,,,,,,,1.9840790223,,,,
1980-09-08,,,,,,,,7.3155186797,,,,,,,,,1.1456513326,3.9615764807,,,,,,,,,,,,,,,,1.9309063255,,,,
1980-09-09,,,,,,,,7.4066740047,,,,,,,,,1.1394542151,4.031568998,,,,,,,,,,,,,,,,1.9406093724,,,,
1980-09-10,,,,,,,,7.5658919723,,,,,,,,,1.1639165211,4.0875630119,,,,,,,,,,,,,,,,1.9212032787,,,,
1980-09-11,,,,,,,,7.8393579472,,,,,,,,,1.1578824856,4.0735645084,,,,,,,,,,,,,,,,1.9359519099,,,,
1980-09-12,,,,,,,,7.8472580754,,,,,,,,,1.1456513326,4.031568998,,,,,,,,,,,,,,,,1.9406093724,,,,
1980-09-15,,,,,,,,7.9608983805,,,,,,,,,1.1456513326,4.0875630119,,,,,,,,,,,,,,,,1.9212032787,,,,
1980-09-16,,,,,,,,8.0824388138,,,,,,,,,1.1374972306,4.136277804,,,,,,,,,,,,,,,,1.9212032787,,,,
1980-09-17,,,,,,,,8.3103271262,,,,,,,,,1.1353771641,4.2202688248,,,,,,,,,,,,,,,,1.9406093724,,,,
1980-09-18,,,,,,,,8.1207240503,,,,,,,,,1.1334201796,4.1575555292,,,,,,,,,,,,,,,,1.9646729286,,,,
1980-09-19,,,,,,,,8.2039792471,,,,,,,,,1.1171119756,4.1855525362,,,,,,,,,,,,,,,,1.9600154661,,,,
1980-09-22,,,,,,,,8.1887866929,,,,,,,,,1.123146011,4.1855525362,,,,,,,,,,,,,,,,2.037639841,,,,
1980-09-23,,,,,,,,7.9305132722,,,,,,,,,1.1252660776,4.1782733144,,,,,,,,,,,,,,,,2.1734824971,,,,
1980-09-24,,,,,,,,7.9001281638,,,,,,,,,1.1598394701,4.3115390673,,,,,,,,,,,,,,,,2.251106872,,,,
1980-09-25,,,,,,,,7.8545505014,,,,,,,,,1.1619595366,4.3042598455,,,,,,,,,,,,,,,,2.251106872,,,,
1980-09-26,,,,,,,,7.7864878587,,,,,,,,,1.1456513326,4.2342673282,,,,,,,,,,,,,,,,2.1734824971,,,,
1980-09-29,,,,,,,,7.7482026222,,,,,,,,,1.1171119756,4.1642748109,,,,,,,,,,,,,,,,2.1106067534,,,,
1980-09-30,,,,,,,,7.9760909346,,,,,,,,,1.1374972306,4.24154655,,,,,,,,,,,,,,,,2.2317007782,,,,
1980-10-01,,,,,,,,8.2039792471,,,,,,,,,1.1720706231,4.4655226055,,,,,,,,,,,,,,,,2.4063556217,,,,
1980-10-02,,,,,,,,8.1584015846,,,,,,,,,1.1965329291,4.5355151228,,,,,,,,,,,,,,,,2.4839799966,,,,
1980-10-03,,,,,,,,8.2574570377,,,,,,,,,1.1904988937,4.7314941713,,,,,,,,,,,,,,,,2.4692313654,,,,
1980-10-06,,,,,,,,8.3334198085,,,,,,,,,1.2271923527,4.8574807025,,,,,,,,,,,,,,,,2.5227921841,,,,
1980-10-07,,,,,,,,8.1814942669,,,,,,,,,1.2231153017,4.871479206,,,,,,,,,,,,,,,,2.4645739029,,,,
